Search Value,Linear Search,Binary Search,Fiboncci Search,Notes
1,2220,2228,2296,The memory cost vary depends on different number by using various sorting algroithm.
4,2228,2212,2256,
22,2212,2292,2124,
37,2212,2304,2208,
22906,2220,2196,2211,
53757,2224,2292,2256,
112591,2252,2204,2196,
361940,2228,2296,2248,
475713,2252,2248,2304,
893766,2300,2200,2228,
996637,2228,2220,2248,
996639,2292,2124,2252,
996652,2220,2256,2228,
-996652,2224,2248,2236,
